Song,Nonprog Probability,Prog Probability,True Label
1-03 Wonderwall.mp3,0.999510954,0.000489046,Nonprog
5 A Sprinkling Of Clouds.mp3,1.78E-31,1,Prog
09Henry Mancini - Peter Gunn.mp3,1,2.54E-20,Nonprog
Kid_Cudi_Frequency.mp3,1,4.02E-56,Nonprog
08_-_opeth_-_blackwater park_-_blackwater park.mp3,5.31E-55,1,Prog
7 - The Hurt Inside.mp3,1,4.09E-17,Nonprog
La conquista della posizione eretta.mp3,4.80E-14,1,Prog
08 - Damage Inc  (LP Version).mp3,1.31E-05,0.999986888,Nonprog
05 Clocks.mp3,0.999997358,2.64E-06,Nonprog
01 The Gates Of Delirium.mp3,4.75E-39,1,Prog
05_Arriving Somewhere but Not Here.mp3,9.53E-55,1,Prog
10 - 2000 Miles .mp3,1,9.89E-11,Nonprog
4-Song Of Scheherazade.mp3,6.20E-48,1,Prog
1958_The_Champs_Tequila.mp3,1,4.77E-26,Nonprog
04 - Out Of The Blue.mp3,0.928307847,0.071692153,Nonprog
05-Phallus Dei.mp3,3.51E-39,1,Prog
1980_Pink_Floyd_Another_Brick_In_The_Wall_Part_II.mp3,1,9.85E-70,Nonprog
19 - Tusk.mp3,1,7.41E-16,Nonprog
01.A passion play 1.mp3,2.84E-61,1,Prog
01_Genesis_The Musical Box.mp3,1.08E-68,1,Prog
06. In A Gadda Da Vida.mp3,1,8.59E-76,Nonprog
12 - Buckingham Green.mp3,0.968275897,0.031724103,Nonprog
13 Aenema.mp3,1.14E-34,1,Prog
02. The Road Of Bones.mp3,5.53E-36,1,Prog
03_Losfer Words (Big 'Orra).mp3,0.999996013,3.99E-06,Nonprog
Run_The_Jewels_Yankee_and_the_Brave.mp3,1,3.83E-15,Nonprog
16 - Navras.mp3,1,8.66E-87,Nonprog
(Disc 2) 01 - Telepathic Minds.mp3,1.69E-25,1,Prog
04 - Devil's Advocate _ Bambodansarna.mp3,1,3.49E-17,Nonprog
06 - Echoes.mp3,7.52E-46,1,Prog
05. This Time.mp3,1,6.57E-12,Nonprog
06-In a glass house.mp3,1.17E-57,1,Prog
04-Stranger In Your Soul_Resampled.mp3,8.42E-81,1,Prog
01-The runaway.mp3,3.85E-30,1,Prog
06 The Temple of the King.mp3,1,5.70E-37,Nonprog
2002_Linkin_Park_In_The_End.mp3,1,1.39E-24,Nonprog
Titi_Me_Pregunto.mp3,1,1.02E-60,Nonprog
Kraftwerk - 01 - Autobahn.mp3,6.55E-75,1,Prog
08 - White Walls.mp3,3.34E-81,1,Prog
05-Nine Feet Underground.mp3,3.03E-139,1,Prog
L'evoluzione.mp3,0.00118156,0.99881844,Prog
01. The Same River.mp3,2.71E-49,1,Prog
1930_Josephine_Baker_J`ai_Deux_Amours.mp3,1,2.07E-12,Nonprog
08 - Asmarina (My Asmara).mp3,1,3.72E-12,Nonprog
02_Violin_Concerto_in_D_Major_Adagio.mp3,1,2.17E-10,Nonprog
01 - Mustt Mustt (Lost in His Work).mp3,1,1.34E-16,Nonprog
1975_America_Sister_Golden_Hair.mp3,0.999999998,1.97E-09,Nonprog
02 Willie The Pimp.mp3,8.04E-14,1,Prog
06 - Ultimo Entardecer.mp3,9.84E-52,1,Prog
Allie_X_Not_So_Bad_in_LA.mp3,1,6.45E-50,Nonprog
08-This Strange Engine.mp3,2.33E-168,1,Prog
01 Close to the Edge I. The Solid Time of Change II. Total Mass Retain III.  I GetUp I Get Down IV. Seasons of Man).mp3,3.12E-62,1,Prog
06_Genesis_Supper's Ready.mp3,1.97E-48,1,Prog
07 - Zartlicher Abschied.mp3,1.62E-23,1,Prog
01 - My Spirit Will Go On.mp3,0.998322329,0.001677671,Nonprog
1972_Don_McLean_American_Pie.mp3,1,2.27E-13,Nonprog
Pain of Salvation - The Perfect Element I - 02. In the Flesh.mp3,2.78E-24,1,Prog
01. Painkiller.mp3,2.53E-16,1,Nonprog
1976_Eagles_Hotel_California.mp3,1,7.70E-28,Nonprog
06 Naima.mp3,1,2.62E-11,Nonprog
O_Re_Piya_Rahat Fateh Ali Khan_ Salim-Sulaiman.mp3,1,1.24E-36,Nonprog
Cranberries - 04 - Zombie.mp3,1,4.26E-18,Nonprog
06 Californication.mp3,1,3.81E-16,Nonprog
08 I Could Have Danced All Night.mp3,1,9.92E-13,Nonprog
1970_Simon_and_Garfunkel_Bridge_Over_Troubled_Water.mp3,1.94E-11,1,Nonprog
01. B.mp3,0.999999968,3.19E-08,Nonprog
03 - Bayaty.mp3,1,4.62E-54,Nonprog
Ali Farka Toure with Ry Cooder - Talking Timbuktu - 10 - Diaraby.mp3,1,1.41E-26,Nonprog
205 The Court Of The Crimson King.mp3,7.86E-45,1,Prog
1978_Bee_Gees_Night_Fever.mp3,1,3.09E-17,Nonprog
08-love_to_love_320_lame_cbr.mp3,1,3.14E-30,Nonprog
04 - Piano Concerto No. 2 - 1. Allegro.mp3,1,4.38E-34,Nonprog
01-hymn_of_the_seventh_galaxy_320_lame_cbr.mp3,1.98E-13,1,Prog
Eloy - Poseidon's Creation.mp3,6.61E-39,1,Prog
1982_Foreigner_Waiting_For_A_Girl_Like_You.mp3,1,1.47E-47,Nonprog
06. Blue Jeans.mp3,0.999833201,0.000166799,Nonprog
01_A_Change_of_Seasons_I_Sunrise_II_Innocence_III_Carpe_Diem_IV_Winters_V_Another_World_VI_Summer_VII_Sunset.mp3,1.13E-90,1,Prog
03_Anesthetize.mp3,5.07E-86,1,Prog
08 - Tsinandali Choir - Orovela.mp3,1,2.49E-12,Nonprog
2001_Alan_Jackson_Where_Were_You.mp3,1,2.64E-27,Nonprog
Thick As A Brick.mp3,0,nan,Prog
Billie_Eilish_What_Was_I_Made_For.mp3,1,9.48E-18,Nonprog
03-oneohtrix_point_never-betrayed_in_the_octagon-kouala.mp3,0.999966903,3.31E-05,Nonprog
08 - Octavarium.mp3,7.02E-49,1,Prog
Collective Soul_The World I Know.mp3,1,4.46E-22,Nonprog
02. Planet Earth.mp3,1,3.41E-31,Nonprog
08 - Xoomij.mp3,1,1.05E-10,Nonprog
02 - Arc of a Diver.mp3,1,7.06E-18,Nonprog
07. The Cars - Bye Bye Love.mp3,0.00049745,0.99950255,Nonprog
09 - Headlong Flight.mp3,2.63E-54,1,Prog
2001_Train_Drops_Of_Jupiter.mp3,0.998087378,0.001912622,Nonprog
1943_Duke_Ellington_In_A_Sentimental.mp3,1,4.64E-12,Nonprog
03Uriah Heep - July Morning.mp3,9.21E-59,1,Prog
1948_Peggy_Lee_Manana.mp3,1,4.18E-31,Nonprog
05_Schism.mp3,1.34E-29,1,Prog
04 The Sleepwalkers.mp3,2.79E-59,1,Prog
12 - The Garden.mp3,0.612765361,0.387234639,Prog
Kind Of Blue-Miles Davis-02-Freddie Freeloader.mp3,1,1.83E-44,Nonprog
09. Tel Aviv.mp3,0.002871098,0.997128902,Nonprog
04Billy Cobham - Stratus.mp3,2.21E-59,1,Prog
02 Aja.mp3,4.14E-22,1,Nonprog
101 21st Century Schizoid Man.mp3,6.65E-66,1,Prog
03 - Take Five (LP Version).mp3,1,1.15E-83,Nonprog
Procol_Harum_In_Held.mp3,1.40E-44,1,Prog
04. Air Supply - All Out Of Love.mp3,1,1.21E-28,Nonprog
06 Forgotten Sons.mp3,8.09E-36,1,Prog
03_YYZ_Rush_Moving_Pictures_Deluxe_Edition_2011.mp3,2.91E-09,0.999999997,Prog
04 Dounounia.mp3,1,1.37E-29,Nonprog
09 - Ice (Remastered 2023).mp3,1.83E-25,1,Prog
05-Tjolky [Тьолки].mp3,0.999999751,2.49E-07,Nonprog
02 - Joie De Vivre.mp3,1,8.69E-53,Nonprog
01.ArmenMiran-PreciousStory.mp3,1,1.60E-120,Nonprog
03 Space Song.mp3,1,1.01E-21,Nonprog
Golden Earring - Radar Love.mp3,1,1.82E-13,Nonprog
06. Anekdoten - Our Days Are Numbered.mp3,1.88E-19,1,Prog
Billy Joel - It's Still Rock And Roll To Me.mp3,1,5.79E-51,Nonprog
06. Milliontown.mp3,6.70E-76,1,Prog
03. Omen.mp3,6.92E-44,1,Prog
02 West End Girls.mp3,1,1.01E-55,Nonprog
Paul Gilbert - Technical Difficulties (Racer X).mp3,0.999999983,1.67E-08,Nonprog
04 - El corrido de Alfonso.mp3,0.999998742,1.26E-06,Nonprog
01 War Pigs _ Luke's Wall.mp3,2.71E-13,1,Nonprog
Cardi_B_WAP.mp3,1,7.77E-59,Nonprog
01 - Luminol.mp3,1.97E-46,1,Prog
01-Sospesi Nell'Incredibile.mp3,2.30E-31,1,Prog
02 Scorched Earth.mp3,1.01E-36,1,Prog
01-Light - Look At Your Sun.mp3,1,3.95E-18,Nonprog
01 Script For A Jester's Tear.mp3,1.82E-20,1,Prog
05 - Moonwind.mp3,1,3.18E-98,Nonprog
01Al Di Meola - Flight over Rio.mp3,1.19E-29,1,Prog
101-elp-tarkus.mp3,1.04E-130,1,Prog
01_2112_I_Overture_II_Temples_of_Syrinx_III_Discovery_IV_Presentation_V_Oracle_VI_Soliloquy_VII_Grand_Finale.mp3,5.51E-61,1,Prog
1971_Rod_Stewart_Maggie_May.mp3,1,4.11E-10,Nonprog
16 - Madhuban Mein Radhika Nache Re (Kohinoor 1960).mp3,1,4.50E-60,Nonprog
1984_Prince_When_Doves_Cry.mp3,1,6.05E-37,Nonprog
01 - Autumn Lords.mp3,1.66E-10,1,Nonprog
01 - Immigrant Song.mp3,3.20E-08,0.999999968,Nonprog
04 Still D.R.E. (Feat. Snoop Dogg).mp3,1,5.60E-82,Nonprog
01 - School.mp3,1.44E-13,1,Prog
04 The Unforgettable Fire.mp3,0.96079923,0.03920077,Nonprog
The Jimi Hendrix Experience - Voodoo Chile.mp3,1,4.13E-12,Nonprog
13 - Al Hahla Al ’Ali.mp3,0.999999965,3.53E-08,Nonprog
1966_The_Rolling_Stones_Paint_It_Black.mp3,1,1.05E-14,Nonprog
08 - Lady Fantasy.mp3,6.95E-30,1,Prog
10 - Jefferson Airplane - Surrealistic Pillow  - White Rabbit.mp3,4.50E-17,1,Nonprog
08 Listen.mp3,1.40E-05,0.999985968,Nonprog
06 Felt Mountain.mp3,1,1.46E-24,Nonprog
01 - Song Within A Song.mp3,1.65E-22,1,Prog
11 - Hello Earth.mp3,1,3.04E-18,Nonprog
07 Guy's Eyes.mp3,0.999994489,5.51E-06,Nonprog
09 - Ancestral.mp3,2.99E-58,1,Prog
Big Big Train - English Electric (Part Two) - 01 - East Coast Racer.mp3,2.50E-94,1,Prog
1964_The_Beatles_I_Want_To_Hold_Your_Hand.mp3,1,9.25E-20,Nonprog
01. The Light.mp3,4.69E-38,1,Prog
Chinna Chinna Aasai - ROJA.mp3,1,4.75E-22,Nonprog
03 - Halleluwah.mp3,6.56E-27,1,Prog
07 - Wake Up.mp3,1,2.30E-30,Nonprog
Taylor_Swift_All_Too_Well_Taylor_Version.mp3,1,2.87E-107,Nonprog
04 Operation- Mindcrime.mp3,1.89E-06,0.999998109,Prog
09 - Money For Nothing (Album Version).mp3,1,1.02E-204,Nonprog
02_Dogs.mp3,1.66E-56,1,Prog
03 A Plague of Lighthouse Keepers.mp3,1.22E-47,1,Prog
06 - Give It Up.mp3,1,9.63E-44,Nonprog
05_The_Afternoon_a_Afternoon_b_Evening.mp3,4.63E-38,1,Prog
"01-The Bryden 2-Step (For Amphibians), Pt.1.mp3",8.49E-66,1,Prog
07 - Head Over Heels  Broken.mp3,0.998858238,0.001141762,Nonprog
105-emerson_lake_and_palmer-karn_evil_9_1st_impression_(part_1).mp3,5.59E-22,1,Prog
rasme-asheghi.mp3,1,1.79E-12,Nonprog
1998_Celine_Dion_My_Heart_Will_Go_On.mp3,1,4.15E-25,Nonprog
03. Rag Doll.mp3,1,3.08E-30,Nonprog
1965_Beach_Boys_California_Girls.mp3,0.000735875,0.999264125,Nonprog
02. Bleed (live).mp3,6.51E-37,1,Prog
08 - The Divine Wings Of Tragedy.mp3,6.50E-93,1,Prog
103 Epitaph.mp3,9.34E-42,1,Prog
03 Horns Surrounding Me.mp3,1,1.19E-57,Nonprog
"2019_Ariana_Grande_Thank_U,_Next.mp3",1,1.20E-54,Nonprog
"09 - Madonna, Sean and Me.mp3",0.999999992,7.92E-09,Nonprog
01. Hazard Profile Part One.mp3,4.84E-13,1,Prog
1941_Glenn_Miller_Chatanooga_Choo_Choo.mp3,1,3.66E-49,Nonprog
1962_Ray_Charles_I_Can't_Stop_Loving_You.mp3,1,9.49E-26,Nonprog
09 Heart Of The Sunrise.mp3,2.14E-51,1,Prog
K-Pop_1.mp3,1,8.03E-150,Nonprog
David-Guetta-Ft.-Sia---Titanium-(Instrumental)-[Download].mp3,1,1.22E-61,Nonprog
02 - Petrichrist.mp3,1,3.77E-37,Nonprog
01 - Birds of Fire.mp3,1.77E-16,1,Prog
1967_The_Doors_Light_My_Fire.mp3,1,4.81E-26,Nonprog
2014_Katy_Perry_Roar.mp3,1,1.44E-13,Nonprog
1954_Rosemary_Clooney_Hey_There.mp3,2.05E-09,0.999999998,Nonprog
01 - Songs From The Wood (2003 Digital Remaster).mp3,1.35E-17,1,Prog
1985_Wham_Careless_Whisper.mp3,1,3.35E-19,Nonprog
09 - Golden Brown [Explicit].mp3,1,1.41E-12,Nonprog
03 - Suenos De Maniqui.mp3,1.41E-52,1,Prog
06 - How Soon Is Now_.mp3,1,8.24E-39,Nonprog
04-Invisible Limits.mp3,1,1.44E-14,Nonprog
02 - Odyssey.mp3,1.36E-23,1,Prog
07 Eight Miles High.mp3,1.98E-12,1,Nonprog
2010_Lady_Gaga_Telephone.mp3,1,3.64E-47,Nonprog
06 - Sweet Dreams (Are Made Of This).mp3,0.999999996,3.53E-09,Nonprog
07-do_it_again_320_lame_cbr.mp3,1,2.01E-33,Nonprog
Syzygy_Dialectic.mp3,7.06E-58,1,Prog
07 - Fool's Overture.mp3,7.74E-18,1,Prog
01_Yours Is No Disgrace.mp3,1.69E-47,1,Prog
03 - Don't Believe The Hype.mp3,1,5.50E-37,Nonprog
Julia-Michaels---Issues.mp3,1,8.92E-24,Nonprog
01 - amy winehouse - rehab.mp3,1,1.28E-26,Nonprog
01 - End Titles from Blade Runner.mp3,7.97E-05,0.999920337,Nonprog
13 - Layla.mp3,1,8.01E-13,Nonprog
06 Megalyth.mp3,4.93E-15,1,Prog
(06) [Alice Cooper] No More Mr. Nice Guy.mp3,1,2.31E-34,Nonprog
05 Soup.mp3,2.81E-17,1,Prog
01_Shine On You Crazy Diamond I.mp3,4.05E-37,1,Prog
11 - Inoculate the Innocuous.mp3,3.00E-06,0.999996999,Nonprog
08. Guardian.mp3,1.20E-54,1,Prog
07 - While The Earth Sleeps (feat Peter Gabriel).mp3,1,8.84E-49,Nonprog
10 The Thrill Is Gone.mp3,1,2.92E-17,Nonprog
1988_INXS_Need_You_Tonight.mp3,1,4.00E-69,Nonprog
07 Say It Ain't So.mp3,1,4.34E-28,Nonprog
Baris_Manco_Bay_Koca_Destani_2023.mp3,1.85E-19,1,Prog
Lizzo_Juice.mp3,1,4.72E-47,Nonprog
1995_Hootie_And_The_Blowfish_Hold_My_Hand.mp3,1,2.05E-15,Nonprog
02. Top Of The World.mp3,1,7.25E-11,Nonprog
01 - Blinded By The Light.mp3,1,5.21E-12,Nonprog
03 - No Doubt - Just a Girl.mp3,0.999996105,3.90E-06,Nonprog
1992_Nirvana_Smells_Like_Teen_Spirit.mp3,1,1.56E-45,Nonprog
1939_Judy_Garland_Somewhere_Over_The_Rainbow.mp3,0.999992126,7.87E-06,Nonprog
2020_BTS_Dynamite.mp3,1,9.40E-65,Nonprog
Cosmia.mp3,1,4.35E-32,Nonprog
04 - Interstate Love Song.mp3,0.001720657,0.998279343,Nonprog
03 Supermassive Black Hole.mp3,1,2.25E-87,Nonprog
01 - It's The End Of The World As We Know It (And I Feel Fine) (Edit) (2006 Digital Remaster).mp3,1,1.35E-70,Nonprog
Metro_Boomin_On_Time.mp3,0.998961756,0.001038244,Nonprog
Appena un poco.mp3,1.03E-24,1,Prog
02 - Zombified.mp3,0.999996576,3.42E-06,Nonprog
1944_Les_Brown_Twilight_Time.mp3,1,1.03E-18,Nonprog
01 - UFO.mp3,2.46E-33,1,Prog
03 - The national anthem.mp3,0.995390906,0.004609094,Nonprog
06_The Offspring_Gone Away.mp3,1,6.44E-15,Nonprog
1991_Mariah_Carey_Someday.mp3,1,5.37E-84,Nonprog
1977_ABBA_Dancing_Queen.mp3,1,2.99E-17,Nonprog
01_-_the_revealing_science_of_god_-_dance_of_the_dawn_320_lame_cbr.mp3,0.043149197,0.956850803,Prog
CCR_Who'll Stop The Rain.mp3,0.999997113,2.89E-06,Nonprog
04 Cracker - Low.mp3,0.999934241,6.58E-05,Nonprog
04 - Condor Pasa.mp3,1,4.00E-22,Nonprog
A Tribe Called Quest - Midnight Marauders - 14 - God Lives Through.mp3,1,5.63E-57,Nonprog
09. Bo Hansson - Rohans Horn - Slaget vid Pelennors slatter.mp3,1.73E-20,1,Prog
10 - Don't You Want Me - The Human League.mp3,1,1.23E-26,Nonprog
01 - Only Shallow.mp3,0.999999951,4.85E-08,Nonprog
11 - Lonely People.mp3,0.951346219,0.048653781,Nonprog
01 Play Your Part (Pt. 1).mp3,1,7.30E-22,Nonprog
slow thai Mura Masa - Doorman.mp3,1,1.32E-17,Nonprog
Bad_Bunny_Si_Veo_A_Tu_Mama.mp3,0.99999997,2.99E-08,Nonprog
04 - Big Shot.mp3,1,2.85E-23,Nonprog
05 - Fatal Tragedy.mp3,2.98E-14,1,Prog
1983_Police_Every_Breath_You_Take.mp3,1,4.32E-79,Nonprog
01-Hocus Pocus.mp3,3.10E-21,1,Prog
04 - Suspended in Gaffa.mp3,1,6.24E-22,Nonprog
02 Peace Of Mind.mp3,0.999999814,1.86E-07,Nonprog
08 All the Small Things.mp3,3.16E-13,1,Nonprog
01 Jordrok.mp3,4.21E-16,1,Prog
"Travis Scott - CIRCUS MAXIMUS (Official Audio) ft. The Weeknd, Swae Lee.mp3",1,4.01E-52,Nonprog
02 - Adagio in C Minor.mp3,0.673849239,0.326150761,Nonprog
2021_Silk_Sonic_Leave_the_Door_Open.mp3,8.18E-06,0.999991819,Nonprog
1951_Tony_Bennett_Because_Of_You.mp3,0.99769615,0.00230385,Nonprog
the-chainsmokers-&-coldplay---something-just-like-this.mp3,1,5.88E-46,Nonprog
01 - Harden My Heart.mp3,1,8.05E-34,Nonprog
01_Surfing with the Alien.mp3,1,4.70E-12,Nonprog
Sharon_Van_Etten_Seventeen.mp3,1,1.14E-16,Nonprog
07-Cage-The-Elephant---Aint-No-Rest-For-The-Wicked.mp3,0.999999583,4.17E-07,Nonprog
3. My Beautiful Dark Twisted Fantasy - POWER.mp3,1,7.12E-37,Nonprog
01_-_ace_of_wands_320_lame_cbr.mp3,5.57E-13,1,Prog
10. Michael Sembello - Maniac.mp3,1,3.37E-32,Nonprog
04 - Elton John - Goodbye Yellow Brick Road (Remastered 2014).mp3,0.999999998,2.20E-09,Nonprog
02 - A Whiter Shade Of Pale.mp3,0.121087205,0.878912795,Nonprog
2012_Taylor_Swift_We_Are_Never_Getting_Back_Together.mp3,1,7.80E-83,Nonprog
01 - Loser.mp3,1,2.42E-27,Nonprog
1963_Peter_Paul_And_Mary_Puff_The_Magic_Dragon.mp3,0.001042587,0.998957413,Nonprog
03_Time.mp3,0.020465711,0.979534289,Prog
03 Midnight At The Bazaar.mp3,1,1.16E-90,Nonprog
Imagine-Dragons---Believer.mp3,1,1.15E-17,Nonprog
The Weeknd - The Birds (Trilogy).mp3,1,7.84E-98,Nonprog
1953_Les_Paul_And_Mary_Ford_Vaya_Con_Dios.mp3,0.998894866,0.001105134,Nonprog
12 - Round And Round [12_ Version].mp3,1,6.95E-72,Nonprog
01 - Radioactive.mp3,1,2.78E-37,Nonprog
04_La_Villa_Strangiato_Rush_Hemispheres_Deluxe_Edition.mp3,6.45E-23,1,Prog
01 - Roundabout.mp3,1.34E-49,1,Prog
1952_Vera_Lynn_Auf_Wiederseh`n_Sweetheart.mp3,0.8282492,0.1717508,Nonprog
Marco_Luka_Paradise.mp3,1,1.74E-66,Nonprog
05 Red Shift.mp3,1.42E-10,1,Prog
02 Can You Understand.mp3,2.95E-50,1,Prog
The_Technicolors_Tonight_You_Are_Mine.mp3,1,6.83E-79,Nonprog
06 Tales Of Brave Ulysses.mp3,1,5.95E-14,Nonprog
01_Genesis_Watcher of the Skies.mp3,1.29E-10,1,Prog
"Daft Punk - 04 - Harder, Better, Faster, Stronger.mp3",1,5.43E-68,Nonprog
02 - Someone In The Crowd.mp3,1,1.11E-13,Nonprog
05. Part V.mp3,0.000654969,0.999345031,Prog
09 I'm Just a Singer (In a Rock and Roll Band).mp3,1,4.40E-15,Nonprog
03 Julianna Barwick - One Half.mp3,0.999999333,6.67E-07,Nonprog
5  The architect.mp3,2.02E-18,1,Prog
2004_Usher_Yeah.mp3,1,1.94E-107,Nonprog
01 Styx - Grand Illusion.mp3,1,1.56E-22,Nonprog
09 - Dilettante.mp3,1,3.24E-31,Nonprog
22 Turn On The News.mp3,1,1.41E-22,Nonprog
1960_Bryan_Hyland_Itsy_Bitsy.mp3,0.999992746,7.25E-06,Nonprog
20 - Thelonious Monk - 'Round Midnight.mp3,0.953412698,0.046587302,Nonprog
10-hozier-be-65228571.mp3,1,3.29E-19,Nonprog
101-tom_petty_and_the_heartbreakers-refugee.mp3,0.960572438,0.039427562,Nonprog
Ruelle_The_World_We_Made.mp3,0.979438134,0.020561866,Nonprog
07_Johnny B. Goode.mp3,1,2.22E-35,Nonprog
1940_Tommy_Dorsey_I'll_Never_Smile_Again.mp3,1,3.47E-17,Nonprog
05 - Starless.mp3,4.02E-71,1,Prog
1981_Kim_Carnes_Bette_Davis_Eyes.mp3,1,9.55E-72,Nonprog
06-king_crimson-larks_tounges_in_aspic_(part_ii).mp3,8.59E-30,1,Prog
Twenty_One_Pilots_No_Chances.mp3,0.938734559,0.061265441,Nonprog
Closer.mp3,1,2.80E-58,Nonprog
01_Aces High.mp3,1,1.15E-26,Nonprog
Caravan_The_Love_In_Your_Eye.mp3,7.25E-09,0.999999993,Prog
04 - Ted Just Admit it.......mp3,0.999999998,2.48E-09,Nonprog
2-10 Dear Mama.mp3,1,1.40E-67,Nonprog
08 - Kingdom Of Dreams.mp3,1.15E-13,1,Prog
03-House Of The Rising Sun.mp3,1.50E-05,0.999985006,Nonprog
2000_Sting_Desert_Rose.mp3,1,6.02E-34,Nonprog
02. Ascension (feat. Vince Staples).mp3,0.999999998,1.93E-09,Nonprog
SZA_Kill_Bill.mp3,1,3.10E-14,Nonprog
The Revivalists - Wish I Knew You.mp3,0.999920394,7.96E-05,Nonprog
06 Mekanik Kommandoh.mp3,4.33E-07,0.999999567,Prog
Chase Atlantic - SLIDE (Official Music Video).mp3,1,1.13E-79,Nonprog
Neha_Kakkar_Yaad_Piya_Ki_Aane_Lagi.mp3,1,1.64E-42,Nonprog
Gin_Blossoms_Hey_Jealousy.mp3,0.13144973,0.86855027,Nonprog
Symphony_40_G_Minor.mp3,1,1.82E-25,Nonprog
12_Toxicity.mp3,0.985670063,0.014329937,Nonprog
Nena ‎- 99 Luftballons.mp3,0.999999992,8.44E-09,Nonprog
1945_Harry_James_and_Kitty_Kallen_It's_Been_A_Long_Long_Time.mp3,0.999999998,2.16E-09,Nonprog
1974_Jackson_5_Dancing_Machine.mp3,1,3.96E-17,Nonprog
09 - Zum.mp3,1,4.97E-32,Nonprog
09-Year Of The Cat.mp3,1,1.34E-16,Nonprog
01 - I.G.Y..mp3,1,4.64E-21,Nonprog
Beyonce_Cuff_It.mp3,1,1.01E-63,Nonprog
2005_Kelly_Clarkson_Since_U_Been_Gone.mp3,1,1.58E-13,Nonprog
Hallelujah_Kate_McKinnon.mp3,0.999999999,7.86E-10,Nonprog
04 - The River Under.mp3,9.86E-20,1,Prog
11 Better Man.mp3,0.999999999,1.16E-09,Nonprog
06 - De Música Ligera (Remasterizado 2007).mp3,0.039157678,0.960842322,Nonprog
05-Flourescent Adolescent.mp3,1,1.22E-12,Nonprog
02 - Killer Queen.mp3,0.077346323,0.922653677,Nonprog
Charli_XCX_Speed_Drive_Barbie.mp3,1,2.03E-18,Nonprog
01 Machu Picchu.mp3,1,4.88E-16,Nonprog
01 - Big Chief.mp3,1,1.29E-14,Nonprog
Ursine Vulpine ft Annaca   Wicked Game (Lyrics).mp3,0.999999878,1.22E-07,Nonprog
2003_Evanescence_Bring_Me_To_Life.mp3,0.998019557,0.001980443,Nonprog
1999_Britney_Spears_...Baby_One_More_Time.mp3,1,5.75E-46,Nonprog
04 - Somebody Told Me.mp3,1,2.04E-16,Nonprog
03-genesis-firth_of_fifth.mp3,1.67E-49,1,Prog
04 - A Lovely Night.mp3,0.999999874,1.26E-07,Nonprog
07 - Subterranean.mp3,0.999999999,8.42E-10,Nonprog
14 - 25 or 6 to 4 (Steven Wilson Remix).mp3,1,1.38E-20,Nonprog
03-the_strokes-brooklyn_bridge_to_chorus.mp3,1,3.90E-27,Nonprog
2006_Kanye_West_Gold_Digger.mp3,1,3.99E-36,Nonprog
